,all,nt1,nt2,nt12,nt1pct,nt2pct,nt12pct
2010-01-24,20795045,5415529,2311335,2311192,0.26042400966191703,0.11114835288887329,0.1111414762507126
2010-01-25,26675014,7392162,2835331,2833698,0.27711932972181386,0.10629164055921395,0.10623042222208393
2010-01-26,25513536,7065774,2673158,2671561,0.27694216905096963,0.104774108927904,0.10471151470341077
2010-01-27,25254509,7003883,2596591,2594974,0.27733198059799935,0.10281692667238156,0.1027528985022041
2010-01-28,25546218,7219292,2675820,2674632,0.28259729091797464,0.10474427173525255,0.10469776778699688
2010-01-29,28831747,8214979,3068243,3065340,0.28492824246827636,0.10641890690841592,0.10631821928792591
2010-01-30,26908866,7430136,2898638,2896270,0.27612222677834136,0.10772055574545579,0.10763255500993613
2010-01-31,21007162,5548295,2342859,2342749,0.26411444820580715,0.11152667837759332,0.11152144206818608
2010-03-01,31081571,7960694,2964046,2961895,0.25612263936079677,0.09536345508404322,0.09529425008793796
2010-03-02,29490904,7595611,2797001,2794667,0.25755775407902043,0.09484283696423819,0.09476369391728379
2010-03-03,29222888,7671536,2819289,2817258,0.2625180646074406,0.09647537231775312,0.09640587200005694
2010-03-04,25836841,7417457,2814053,2813266,0.28708838669557163,0.10891629514614422,0.10888583476594527
2010-03-05,30754592,8431274,3075681,3073661,0.27414683309731436,0.10000721193114837,0.09994153068263757
2010-03-06,28487650,7647392,2915060,2914001,0.26844587040349066,0.10232714878201607,0.10228997477854439
2010-03-07,22454589,5688437,2355231,2355115,0.25333071115218364,0.10488862655201571,0.10488346057013112
2010-03-08,29387290,7722261,2901602,2900911,0.2627755400378871,0.09873663069987058,0.0987131171332913
2010-03-09,28935120,7501788,2777479,2776683,0.2592623773462837,0.09598989048602528,0.09596238066405116
2010-03-10,28914090,7629502,2816602,2815621,0.263867961952114,0.09741278387111613,0.09737885577585184
2010-03-11,28914253,7711940,2837799,2837204,0.2667175942605192,0.09814533337589597,0.09812475528937234
2010-03-12,31438026,8552599,3103529,3101987,0.2720463110501913,0.0987189526467088,0.0986699037655863
2010-03-13,29842436,8126317,3117731,3114032,0.2723074282541814,0.10447307317673396,0.10434912216951726
2010-03-14,23292770,6041350,2543503,2542623,0.25936588907201674,0.10919710279198223,0.10915932282850001
2010-03-15,22249167,5991127,2455768,2455609,0.26927421597401824,0.11037572777443758,0.11036858143947591
2010-03-16,27151985,7553414,2833279,2831904,0.2781901212747429,0.10434887173074087,0.10429823086599378
2010-03-17,30213853,7957357,2962172,2960684,0.26336783329156993,0.09804019368201732,0.09799094474974775
2010-03-18,30039467,7996819,2931885,2930963,0.2662104157840084,0.09760109924720035,0.09757040629249514
2010-03-19,31343210,8053603,2987514,2985421,0.25694888940858324,0.09531614662314422,0.095249369799711
2010-03-20,30738220,8055840,3129926,3128135,0.2620789362559055,0.10182521954752097,0.1017669533239075
2010-03-21,24387510,5859752,2444721,2444577,0.24027676462254655,0.10024479743934497,0.10023889277749143
2010-03-22,30368103,8023050,3041948,3041260,0.26419332152554936,0.10016918080131644,0.1001465254513922
2010-03-23,29487265,7685311,2894373,2893778,0.2606315302555188,0.09815671273683742,0.09813653453448463
2010-03-24,29032337,7682581,2892926,2892661,0.2646215149679476,0.09964495796531984,0.09963583021235942
2010-03-25,29712502,7923226,2977592,2977171,0.26666303632053606,0.10021343877402179,0.1001992696542351
2010-03-26,31541545,8367794,3119157,3117826,0.26529436018432195,0.09889043165133476,0.09884823333796744
2010-03-27,30443073,8085931,3151926,3151313,0.26560823869521977,0.1035350800492447,0.10351494410567554
2010-03-28,23416674,5916363,2510199,2510043,0.25265599205079253,0.10719707674966991,0.10719041483004803
2010-03-29,29460898,7787698,3015630,3014966,0.2643401433316798,0.1023604236367812,0.10233788528781437
2010-03-30,28924413,7754502,2969036,2968813,0.2680953974761735,0.10264809868397329,0.10264038893373567
2010-03-31,30201793,8143165,3090447,3089179,0.26962521728428507,0.10232660690045786,0.10228462263813277
2010-04-01,25341530,6696078,2712935,2712065,0.26423337501721483,0.10705490157855505,0.10702057058117644
2010-04-02,20538393,5422826,2334357,2334239,0.26403360769267586,0.11365821074706282,0.11365246540953813
2010-04-03,21675665,5894731,2523421,2523316,0.2719515641157953,0.11641723564190533,0.11641239149986864
2010-04-04,20058623,5315167,2310039,2309906,0.2649816490394181,0.1151643859102392,0.11515775534541928
2010-04-05,29226079,7892903,3125400,3125193,0.2700636989313551,0.10693873783068882,0.10693165511528248
2010-04-06,27392960,7288114,2634474,2634239,0.266057921451351,0.09617339637629523,0.09616481752975947
2010-04-07,27687047,7517940,2877049,2876631,0.2715327495922552,0.10391317643950979,0.10389807912703727
2010-04-08,28197545,7707740,2955045,2954906,0.27334791025247057,0.1047979531551417,0.1047930236479807
2010-04-09,30558295,8351455,3152269,3151548,0.27329584323994516,0.10315591887570953,0.10313232462740476
2010-04-10,29566272,7894489,3101554,3101277,0.2670099564801406,0.10490176103365348,0.10489239225019643
2010-04-11,22835651,5839983,2461578,2461447,0.255739720317148,0.10779539414050425,0.10778965749651717
2010-04-12,29009341,7958345,3051351,3051074,0.27433732465690963,0.10518511951029842,0.1051755708618131
2010-04-13,27966225,7743304,2916231,2916063,0.27688055860238553,0.10427689114279814,0.10427088389655736
2010-04-14,28114690,7852043,2915336,2915187,0.2792861312004507,0.103694403174995,0.10368910345445743
2010-04-15,27661562,7630724,2819308,2819074,0.27586019907335674,0.10192150392664015,0.10191304453450604
2010-04-16,31614564,8667751,3274764,3274209,0.2741695567903451,0.10358403171399105,0.10356647651379915
2010-04-17,29574696,7978463,3082054,3081605,0.26977328862484334,0.10421253357938151,0.10419735168199193
2010-04-18,22215649,5893544,2445784,2445673,0.2652879508494215,0.11009284491306105,0.11008784843512787
2010-04-19,28824001,7897162,2971749,2971582,0.27397868880173853,0.10309980907924615,0.10309401529648851
2010-04-20,27949759,7599332,2812271,2812026,0.2718925769628282,0.10061879245541974,0.1006100267268852
2010-04-21,27687015,7629732,2842074,2841917,0.2755707684631225,0.10265006899443656,0.10264439846621241
2010-04-22,27892506,7802561,2955886,2955183,0.27973682249992166,0.1059741996649566,0.10594899576251772
2010-04-23,31141800,8773626,3379956,3379710,0.28173149914263146,0.10853438144230584,0.10852648209159393
2010-04-24,29281819,8137886,3285286,3285117,0.27791599968567526,0.11219542064651107,0.11218964914713803
2010-04-25,22993364,5974651,2617386,2617244,0.25984240496518907,0.11383223437857984,0.11382605868371413
2010-04-26,28986051,8037348,3180091,3179918,0.2772833043038529,0.10971108137496895,0.10970511298693292
2010-04-27,27935349,7754574,2992493,2992355,0.27759001686358026,0.10712209108252058,0.10711715110486002
2010-04-28,28741580,7869823,3019351,3019230,0.2738131654557613,0.10505167078497424,0.1050474608563621
2010-04-29,30098720,8300642,3160667,3159861,0.2757805647549132,0.10501001371486894,0.10498323516747556
2010-04-30,31343754,8295625,2997830,2997105,0.2646659682181018,0.09564361690689635,0.09562048630167273
2010-05-01,28385866,7977443,3228468,3228271,0.28103574504297313,0.11373505391732631,0.11372811384369953
2010-05-02,22491812,6128353,2692456,2692321,0.27247039945025325,0.11970827428221434,0.1197022720979528
2010-05-03,28388185,8281775,3353910,3353778,0.291733162933805,0.11814457317366363,0.11813992335191559
2010-05-04,27486942,8015670,3168653,3168470,0.29161737962702433,0.1152784838706321,0.11527182616385628
2010-05-05,27070505,7745790,3104177,3103859,0.28613393063779197,0.11467008096080956,0.11465833385819732
2010-05-06,28209890,8212061,3211270,3210827,0.2911057434112646,0.11383489974615285,0.11381919603373143
2010-05-07,30153729,9077481,3488118,3487907,0.3010400803164345,0.11567783208504659,0.11567083460888038
2010-05-08,27751033,8272210,3244530,3244080,0.298086561318276,0.11691564778867872,0.11689943217609233
2010-05-09,22711306,6433874,2725461,2725328,0.28328947705605306,0.12000459154572617,0.11999873543159517
2010-05-10,31782384,9256597,3638734,3638091,0.29124929709489383,0.11448902008106125,0.11446878874787995
2010-05-11,28015672,8166714,3151834,3151606,0.29150519751944554,0.11250253072637344,0.11249439242435448
2010-05-12,26311756,7798997,2939186,2939024,0.2964073169422824,0.11170618943106647,0.1117000324873794
2010-05-13,26898620,7949506,2985389,2985227,0.295535830462678,0.11098669745882875,0.11098067484502923
2010-05-14,30474963,8965929,3351654,3351423,0.2942063949347535,0.10998057651456378,0.10997299652176772
2010-05-15,28659247,8219411,3223284,3223121,0.28679787016037095,0.11246924945376269,0.11246356193517576
2010-05-16,21786247,5883994,2492753,2492620,0.27007836641161737,0.11441865136294471,0.11441254659418852
2010-05-17,28347939,8135610,3107672,3107481,0.28699123417755346,0.1096260296030692,0.109619291899845
